 Número Guia;Receita;Data;Nome;CPF/CNPJ;Valor Previsto;Valor Lançado;Valor Arrecadado
326;1121011102-Taxa de Autorização de Funcionamento de Transporte;22/09/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;600
327;1910011100-Multas Previstas em Legislação de Trânsito;23/09/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;1.617,51
328;1121011102-Taxa de Autorização de Funcionamento de Transporte;23/09/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;207,2
329;1910011100-Multas Previstas em Legislação de Trânsito;25/09/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;1.267,54
330;1121011102-Taxa de Autorização de Funcionamento de Transporte;24/09/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;999,6
331;1910011100-Multas Previstas em Legislação de Trânsito;25/09/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;775,67
332;1910011100-Multas Previstas em Legislação de Trânsito;25/09/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;35.407,93
333;1121011102-Taxa de Autorização de Funcionamento de Transporte;25/09/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;366,4
334;1990991100-Outras Receitas - Zona Azul;28/09/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;70.000,00;0;3.081,60
335;1910011100-Multas Previstas em Legislação de Trânsito;28/09/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;2.713,54
336;1121011102-Taxa de Autorização de Funcionamento de Transporte;28/09/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;411,2
337;1910011100-Multas Previstas em Legislação de Trânsito;29/09/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;399,43
338;1121011102-Taxa de Autorização de Funcionamento de Transporte;29/09/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;707,6
339;1910011100-Multas Previstas em Legislação de Trânsito;30/09/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;1.735,98
340;1121011102-Taxa de Autorização de Funcionamento de Transporte;30/09/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;1.948,10
341;1321001103-Remuneração de Outros Depósitos de Recursos não vinculados;30/09/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;1.000,00;0;0,97
342;1910011100-Multas Previstas em Legislação de Trânsito;01/10/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;610.000,00;0;3.130,87
343;1121011102-Taxa de Autorização de Funcionamento de Transporte;01/10/2020;BANCO DO BRASIL S/A;00.000.000/0099-03;167.000,00;0;179,6
