 Número Guia;Código;Receita;Data;Nome;CPF/CNPJ;Valor Previsto;Valor Lançado;Valor Arrecadado
245;1121011102;Taxa de Autorização de Funcionamento de Transporte;26/06/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;636.2
246;1910011100;Multas Previstas em Legislação de Trânsito;27/06/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;5218.52
247;1121011102;Taxa de Autorização de Funcionamento de Transporte;27/06/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;311.6
248;1910011100;Multas Previstas em Legislação de Trânsito;28/06/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;2982.55
249;1121011102;Taxa de Autorização de Funcionamento de Transporte;28/06/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;811.4
250;1321001103;Remuneração de Outros Depósitos de Recursos não vinculados;28/06/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;10000.00;0;7.18
251;1121011102;Taxa de Autorização de Funcionamento de Transporte;01/07/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;896
252;1910011100;Multas Previstas em Legislação de Trânsito;01/07/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;2298.38
253;1910011100;Multas Previstas em Legislação de Trânsito;02/07/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;3317.72
254;1121011102;Taxa de Autorização de Funcionamento de Transporte;02/07/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;1904.50
255;1910011100;Multas Previstas em Legislação de Trânsito;03/07/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;2936.64
256;1121011102;Taxa de Autorização de Funcionamento de Transporte;03/07/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;1211.50
257;1910011100;Multas Previstas em Legislação de Trânsito;04/07/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;2450.16
258;1121011102;Taxa de Autorização de Funcionamento de Transporte;04/07/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;924.2
259;1121011102;Taxa de Autorização de Funcionamento de Transporte;05/07/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;736.72
260;1910011100;Multas Previstas em Legislação de Trânsito;05/07/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;2304.79
261;1910011100;Multas Previstas em Legislação de Trânsito;08/07/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;1117.55
262;1121011102;Taxa de Autorização de Funcionamento de Transporte;08/07/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;373.5
263;1910011100;Multas Previstas em Legislação de Trânsito;09/07/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;1539.55
264;1121011102;Taxa de Autorização de Funcionamento de Transporte;09/07/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;120000.00;0;1104.70
265;1910011100;Multas Previstas em Legislação de Trânsito;10/07/2019;BANCO DO BRASIL S/A;00.000.000/0099-03;720000.00;0;1806.27
